Result Number,Widget,Data Source,Result Row,url,name,preparation,Glass
80,Bartendr - drinks,Bartendr - drinks,80,http://www.drinksmixer.com/drink10761.html,Deep Pleasure,Fill a hurricane glass with ice then add the Kahlua coffee liqueur Bailey's Irish cream and butterscotch schnapps. Add half-and-half as desired. For less cream put in an old fashioned glass.,http://www.drinksmixer.com/glasses/9/
81,Bartendr - drinks,Bartendr - drinks,81,http://www.drinksmixer.com/drink10480.html,Cape Cod Islander,Pour the vodka into a highball glass filled with ice cubes. Add the cranberry juice and Sprite soda. Top with the Malibu coconut rum and pineapple juice in the center of the drink. Stir slightly and serve.,http://www.drinksmixer.com/glasses/8/
82,Bartendr - drinks,Bartendr - drinks,82,http://www.drinksmixer.com/drink2249.html,Stoli Around the World,Build in a pint glass (preferably) shake and serve with a lemon wedge. Or you can mix in tin and serve over ice.,http://www.drinksmixer.com/glasses/1/
83,Bartendr - drinks,Bartendr - drinks,83,http://www.drinksmixer.com/drink10653.html,Ice Bomb,Pour all liquors into a highball glass filled with ice cubes. Fill with Sprite soda and serve. OO.ready(function() { OO.Player.create('ooyalaplayer' '5pY2l3ODqjulcHX5peQUf-nonZ1OTDO5' { adSetCode: '96afabaaeee543b5ae6cb7dd570f6816' }); });,http://www.drinksmixer.com/glasses/8/
84,Bartendr - drinks,Bartendr - drinks,84,http://www.drinksmixer.com/drink11754.html,Italian Apple Martini,Pour all into iced shaker tin shake until tin is cold to the touch and strain into martini glass. Garnish with lime wheel and serve. OO.ready(function() { OO.Player.create('ooyalaplayer' 'g1OWl3ODreJRKmg74CQ3B7faQrZFJzJB' { adSetCode: '96afabaaeee543b5ae6cb7dd570f6816' }); });,http://www.drinksmixer.com/glasses/4/
85,Bartendr - drinks,Bartendr - drinks,85,http://www.drinksmixer.com/drink11164.html,Apple Pie Punch,Put the juice cider and cinnamon sticks into a pan and let simmer on the stove for about 2 hours (not boil). Turn off heat pour in 1 liter or 2/3 liter Everclear (no taste of alcohol) to the batch and pour into punch cups. Very potent tastes exactly like apple pie.,http://www.drinksmixer.com/glasses/26/
86,Bartendr - drinks,Bartendr - drinks,86,http://www.drinksmixer.com/drink590.html,Long Island Iced Tea,Mix ingredients together over ice in a glass. Pour into a shaker and give one brisk shake. Pour back into the glass and make sure there is a touch of fizz at the top. Garnish with lemon. OO.ready(function() { OO.Player.create('ooyalaplayer' 'FkNWl3ODqG0tMVr5b-POWvs01bK5Je6U' { adSetCode: '96afabaaeee543b5ae6cb7dd570f6816' }); });,http://www.drinksmixer.com/glasses/6/
87,Bartendr - drinks,Bartendr - drinks,87,http://www.drinksmixer.com/drink10536.html,Double-O-Seven,Fill a cocktail glass with crushed ice. Add Stoli O vodk and almost fill the glass with 7-up. Top with a splash of orange juice and serve.,http://www.drinksmixer.com/glasses/4/
88,Bartendr - drinks,Bartendr - drinks,88,http://www.drinksmixer.com/drinkab14596.html,Nitequell,Shake ingredients in a cocktail shaker with ice. Strain into a 2-oz shot glass.,http://www.drinksmixer.com/glasses/18/
89,Bartendr - drinks,Bartendr - drinks,89,http://www.drinksmixer.com/drink8093.html,Washington Apple Cocktail,Pour DeKuyper sour apple pucker and Crown Royal canadian whisky into a highball glass filled with ice. Add cranberry juice more to taste if desired and serve.,http://www.drinksmixer.com/glasses/8/
90,Bartendr - drinks,Bartendr - drinks,90,http://www.drinksmixer.com/drink3779.html,Gin and Tonic,Pour the gin and the tonic water into a highball glass almost filled with ice cubes. Stir well. Garnish with the lime wedge.,http://www.drinksmixer.com/glasses/8/
91,Bartendr - drinks,Bartendr - drinks,91,http://www.drinksmixer.com/drink824.html,Amaretto Stone Sour,Shake and serve over ice in a tall glass.,http://www.drinksmixer.com/glasses/6/
92,Bartendr - drinks,Bartendr - drinks,92,http://www.drinksmixer.com/drink3669.html,Fruit Tingle #2,Pour the blue curacao and vodka over the ice in a highball glass. Fill with lemonade and at the same time add the dash of cordial. Be sure not to go overboard with the cordial otherwise it overpowers the fruit tingle effect.,http://www.drinksmixer.com/glasses/8/
93,Bartendr - drinks,Bartendr - drinks,93,http://www.drinksmixer.com/drink4471.html,Jack Daniel's Lynchburg Lemonade,Add ice and stir. Garnish with lemon slices and cherries.,http://www.drinksmixer.com/glasses/11/
94,Bartendr - drinks,Bartendr - drinks,94,http://www.drinksmixer.com/drink1404.html,Blue Motorcycle,Build over ice in a collins glass. Fill with sour mix and add a splash of 7-Up.,http://www.drinksmixer.com/glasses/6/
95,Bartendr - drinks,Bartendr - drinks,95,http://www.drinksmixer.com/drink204.html,Blue Whip,Shake vodka curacao and orange juice with ice cubes and top off with sprite or 7-up. Garnish with fanned slices of orange floating on top and serve with a straw.,http://www.drinksmixer.com/glasses/6/
96,Bartendr - drinks,Bartendr - drinks,96,http://www.drinksmixer.com/drink12059.html,Mojito Diablo,Muddle sugar mint and squeezed lime wedges in mixing tin until mixture smells like spearmint gum. Fill with ice add tequila and cassis shake until the tin is icey to the touch. Pour into a collins glass top with 7-up and garnish with a sugarcane stick and fresh mint. OO.ready(function() { OO.Player.create('ooyalaplayer' '1wOWl3ODrfcp8If9iN2idJmt4LlLJKF2' { adSetCode: '96afabaaeee543b5ae6cb7dd570f6816' }); });,http://www.drinksmixer.com/glasses/6/
97,Bartendr - drinks,Bartendr - drinks,97,http://www.drinksmixer.com/drink7849.html,Mountain Breeze,Build ingredients over ice in a hurricane glass shake and garnish with a lime wedge. OO.ready(function() { OO.Player.create('ooyalaplayer' 'hiZGl3ODp39w36MKHYImkFXwBXaRUUBk' { adSetCode: '96afabaaeee543b5ae6cb7dd570f6816' }); });,http://www.drinksmixer.com/glasses/9/
98,Bartendr - drinks,Bartendr - drinks,98,http://www.drinksmixer.com/drink324.html,Imperial Cocktail,Shake with ice strain into a cocktail glass and serve.,http://www.drinksmixer.com/glasses/4/
99,Bartendr - drinks,Bartendr - drinks,99,http://www.drinksmixer.com/drink7929.html,Dale's Long Island Iced Tea,Shake all the ingredients except the cola with ice and strain into a collins glass filled 3/4 with ice. Top with coke and garnish with a lemon wedge.,http://www.drinksmixer.com/glasses/6/
100,Bartendr - drinks,Bartendr - drinks,100,http://www.drinksmixer.com/drink5208.html,Malibu Bay Breeze,Blend ingredients and serve over ice.,http://www.drinksmixer.com/glasses/8/
101,Bartendr - drinks,Bartendr - drinks,101,http://www.drinksmixer.com/drink735.html,Adios Motherfucker,Pour all ingredients except the 7-Up into a chilled glass filled with ice cubes. Top with 7-Up and stir gently.,http://www.drinksmixer.com/glasses/8/
102,Bartendr - drinks,Bartendr - drinks,102,http://www.drinksmixer.com/drink1421.html,Midori Sour,Fill a highball glass with ice. Add the midori sour mix and sprite give a quick stir and add cherries.,http://www.drinksmixer.com/glasses/8/
